,date,nepse_index
160,2019-02-04,1710.9720458984375
161,2019-02-05,1712.2828369140625
162,2019-02-06,1698.38232421875
163,2019-02-07,1700.8853759765625
164,2019-02-10,1712.5692138671875
165,2019-02-11,1725.90625
166,2019-02-12,1718.5555419921875
167,2019-02-13,1718.34375
168,2019-02-14,1691.3017578125
169,2019-02-17,1696.80615234375
170,2019-02-18,1706.30126953125
171,2019-02-19,1729.352294921875
172,2019-02-20,1721.5196533203125
173,2019-02-24,1702.3848876953125
174,2019-02-25,1703.90771484375
175,2019-02-26,1676.96826171875
176,2019-02-27,1684.0325927734375
177,2019-03-03,1688.2633056640625
178,2019-03-05,1692.6778564453125
179,2019-03-06,1718.12255859375
180,2019-03-07,1718.518310546875
181,2019-03-10,1724.059814453125
182,2019-03-11,1733.9415283203125
183,2019-03-12,1756.883056640625
184,2019-03-13,1714.4342041015625
185,2019-03-14,1754.519775390625
186,2019-03-17,1734.1627197265625
187,2019-03-18,1727.02392578125
188,2019-03-19,1727.02392578125
189,2019-03-21,1728.0576171875
190,2019-03-24,1708.9671630859375
191,2019-03-25,1717.510009765625
192,2019-03-26,1719.4495849609375
193,2019-03-27,1736.5562744140625
194,2019-03-28,1722.51611328125
195,2019-03-31,1719.8011474609375
196,2019-04-01,1753.4742431640625
197,2019-04-02,1773.4798583984375
198,2019-04-03,1757.667724609375
199,2019-04-04,1734.1905517578125
200,2019-04-07,1747.1922607421875
201,2019-04-08,1741.68798828125
202,2019-04-09,1740.7822265625
203,2019-04-10,1741.00341796875
204,2019-04-11,1729.5245361328125
205,2019-04-15,1752.011962890625
206,2019-04-16,1766.014892578125
207,2019-04-17,1767.64013671875
208,2019-04-18,1784.0040283203125
209,2019-04-21,1818.803955078125
210,2019-04-22,1793.8321533203125
211,2019-04-23,1776.4599609375
212,2019-04-24,1836.5743408203125
213,2019-04-25,1858.0721435546875
214,2019-04-28,1948.4716796875
215,2019-04-29,1955.857177734375
216,2019-04-30,1930.97607421875
217,2019-05-02,1944.6064453125
218,2019-05-05,1924.9967041015625
219,2019-05-06,1944.83447265625
220,2019-05-07,2045.9073486328125
221,2019-05-08,2012.9163818359375
222,2019-05-09,2000.799560546875
223,2019-05-12,2101.038818359375
224,2019-05-13,2121.68212890625
225,2019-05-14,2139.251953125
226,2019-05-15,2105.064453125
227,2019-05-16,2092.502685546875
228,2019-05-19,2080.313720703125
229,2019-05-20,2075.7314453125
230,2019-05-21,2078.31591796875
231,2019-05-22,2130.54833984375
232,2019-05-23,2166.382080078125
233,2019-05-26,2134.02490234375
234,2019-05-27,2134.98388671875
235,2019-05-28,2118.878662109375
236,2019-05-29,2123.90087890625
237,2019-05-30,2105.357666015625
238,2019-06-02,2117.966064453125
239,2019-06-03,2094.337646484375
240,2019-06-04,2127.0048828125
241,2019-06-06,2130.635009765625
242,2019-06-10,2096.5706
243,2019-06-11,2091.0569
